80.256,38.375,0
79.511,38.539,0
77.648,38.948,0
76.64,39.169,0
78.206,38.825,0
80.345,38.356,0
82.243,37.939,0
84.022,37.548,0
86.358,37.035,0
89.791,36.281,0
93.502,35.466,0
96.648,34.775,0
98.59,34.349,0
99.844,34.073,0
99.998,33.578,0
93.938,31.7,0
85.398,30.054,0
77.546,28.256,0
70.03,26.696,0
61.504,26.06,0
50.964,26.745,0
39.079,28.06,0
27.539,29.048,0
18.521,29.084,0
13.367,28.413,0
10.92,27.39,0
10.417,26.275,0
11.319,25.318,0
13.441,24.724,0
16.12,24.434,0
18.519,24.183,0
19.752,23.874,0
18.865,23.912,0
16.246,24.313,0
13.66,24.792,0
12.582,25.066,0
12.066,25.252,0
11.771,25.438,0
11.786,25.626,0
12.22,25.839,0
13.221,26.159,0
15.295,26.346,0
19.895,25.917,0
25.652,25.015,0
32.393,23.647,0
38.826,22.169,0
42.941,21.136,0
46.496,20.324,0
51.566,19.022,0
60,16.785,0
69.902,14.339,0
80.696,12.122,0
93.048,10.31,0
107.06,8.9598,0
120.99,8.0882,0
132.62,7.7775,0
139.86,8.0903,0
142.83,8.5972,0
141.52,9.0739,0
137.29,9.5411,0
131.26,10.167,0
125.01,11.019,0
119.75,12.006,0
114.35,12.812,0
108.84,13.408,0
102.86,13.911,0
96.651,14.332,0
91.365,14.838,0
86.477,15.223,0
82.222,14.898,0
77.925,14.094,0
73.044,13.188,0
67.148,12.475,0
60.271,12.153,0
54.311,12.006,0
49.702,12.012,0
45.871,12.085,0
41.48,12.531,0
36.432,13.4,0
32.307,14.516,0
30.498,15.761,0
31.644,16.885,0
35.111,17.955,0
39.91,19.116,0
44.6,20.527,0
47.175,22.457,0
44.336,25.479,0
37.558,29.114,0
31.237,32.257,0
30.191,33.958,0
33.417,34.225,0
38.446,33.766,0
42.606,33.193,0
43.272,33.213,0
41.877,33.636,0
40.514,34.039,0
39.275,34.44,0
38.265,34.871,0
36.438,35.631,0
34.156,36.481,0
33.24,36.83,0
34.503,36.327,0
36.974,35.269,0
40.158,33.949,0
44.228,32.513,0
49.438,31.087,0
56.386,29.693,0
65.385,28.185,0
75.105,26.67,0
83.937,25.318,0
90.076,24.341,0
91.466,23.803,0
87.076,23.242,0
81.541,22.801,0
80.095,22.626,0
81.551,22.358,0
83.867,21.953,0
